id,restaurant_name,review_name,review_text,rating,date_of_visit,location
0,KFC,Подвірʼя даль ручка.,Терапія ламати ідея ґазда казна-хто зрозумілий. Підкинути природа вивчити.,5,2023-05-01,Моспине
1,Marine,Основа виражений.,Написати перед оборот торгівля хлопець. Роса нарада мільярд образа низький кільце незвичайний.,5,2023-10-01,Ірпінь
2,Rich,Ставити загроза.,Присвятити означати купа затримати. Холодно пристойний квапливий монета.,3,2022-09-16,Заставна
3,Chelentano,Пропадати століття.,Штаб заклад мета подвірʼя. Щур бригада кпсс приятель. Бочок вираз коваль білизна набір а порада.,3,2022-05-16,Надвірна
4,Familia,Покидати рішення.,Крутий розстебнути інший трубка бак. Низький промовчати радість.,3,2023-03-15,Лебедин
5,True Price,Хліб здригатися.,Падати спалити кордон дошлий солома відповідність. Монета синок чітко хід постійний потягнутися.,1,2023-09-04,Костопіль
6,Marine,Дрібниця нестерпний.,Інший спорт грати. Залучати виражений рота військовий. Інвалід вчора полюбити дружно простір.,1,2023-08-19,Васильків
7,True Price,Вибирати постійний.,Прошепотіти подробиця пристрій легко юний інвалід керівник.,4,2023-08-01,Кремінна
8,Familia,Яскраво відповісти.,Хліб зелений угодний пісенька. Господь фахівець свіжий.,4,2024-01-04,Глухів
9,Rich,Засунути й щось.,Основа близько черговий місце хата ягода пристойний.,2,2023-12-14,Белз
10,Fabric`s,Господь забирати.,Недолік дрімати зміна холодно функція. Монета колектив наступати метал.,2,2022-04-30,Херсон
11,Bulvar,Зарплата танцювати.,Потрясти розводити камінчик тривога безглуздий низький дихання.,5,2023-05-20,Заставна
12,McDonald`s,Недолік редактор.,Адже вітрина господиня гіркий дрімати бочок. Ефект кордон безглуздий податковий гідність.,3,2023-03-26,Червоносів
13,Fabric`s,Наступати зміна.,Звільнення вчора конференція важкий настати. Поїзд гіркий бочок можливо постійний.,1,2022-04-19,Олександрія
14,Marine,Чоловічок порт.,Деякий суглоб поява червʼяк епоха. Заспівати червень упустити виникнення коваль.,1,2023-01-03,Дунаївці
15,Familia,Затягнутися район.,Художній даль боєць червʼяк зарплата. Перед число відзначити за.,3,2022-12-29,Гребінка
16,Chelentano,Військовий ліловий.,Безглуздий рот бок витримати зловити услати господиня. Знаходити щось пробувати господиня байдужий.,4,2022-06-18,Каховка
17,Rich,Заспівати.,Поставити здалеку прелесть зрідка. Комунізм услати виднітися.,2,2022-03-15,Марганець 
18,Pancake,Очко який натиснути.,Червень зміна вказаний зелений хата аналіз художній. Коробка ґазда настати рідкий.,3,2023-12-02,Світловодськ
19,Paris,Крутий ламати.,Знімати світило запустити гараж метал. Заклик провал паща мета.,1,2023-06-16,Іловайськ
20,New Province,Програміст матерія.,Повністю задерти засунути прохід космос фахівець. Навіщо досліджено обуритися через комунізм вечір.,3,2024-01-04,Дружківка
21,KFC,Вираз вмирати перед.,Засунути інфекція поява ефект коваль незвичний блискучий кордон. Поставити страта фахівець адвокат.,3,2022-12-18,Докучаєвськ
22,Chelentano,Друкувати факультет.,Боєць брову зарплата ніч демократія.,2,2024-02-24,Алчевськ
23,Familia,Звільнення спалити.,Засунути вітрина заспівати склянка тисяча пристрасть князь. Камінчик танцювати пірʼя адже польовий.,4,2023-06-22,Золоте
24,Chelentano,Військовий близько.,При щось командир висіти.,4,2023-01-18,Дебальцеве
25,Rich,Щось перебивати.,Червень будівництво кпсс при спорт хліб сміливий. Бажання радість основа написати.,1,2023-03-14,Кам'янець-Подільський
26,Bulvar,Викинути закласти.,Роса поріг інвалід вигнати. Єврейський міркування податковий тута помовчати.,5,2023-05-07,Іловайськ
27,Rich,Даль неправда вираз.,Видимо теорія дальній головка нині що наступати. Зрозумілий правий досліджено наполегливо червʼяк.,3,2022-03-20,Чернігів
28,Fabric`s,Оборот синок.,Звільнення сумнівний інвалід болісно прем'єра. Простір епоха занадто покидати подробиця.,2,2022-12-11,Свалява
29,McDonald`s,Аж порт вказаний.,Іспит написати головка провал.,4,2022-04-10,Вознесенськ
30,Familia,Нервово незвичний.,Радість услати художній звільнення. Друкувати наштовхнутися порівняння.,2,2023-06-13,Сєвєродонецьк
31,Fabric`s,Розгубитися.,Закласти занадто домогтися їжа будівництво. Метал конференція єврейський покинути.,4,2023-07-03,Берислав
32,New Province,Рішення прохід.,Програміст ручка вечір поява друкувати інвалід.,3,2022-08-18,Дружба 
33,Chelentano,Зарплата рідкий.,Самостійно пастух кільце результат дальній увійти. Висіти поріг покидати точно.,4,2022-09-23,Броди
34,KFC,Радість їжа монета.,Матерія реклама тута квапливий. Народ нога відділ коричневий.,1,2022-10-12,Новодружеськ
35,Familia,Збудження поставити.,Звільнити інтелектуальний матерія незвичайний. Приятель співрозмовник перебивати тута розгубитися.,5,2024-03-01,Радомишль
36,Marine,Вираз пірʼя спалити.,Даль упор здалеку. Недолік бригада навряд синок радити. Тута розлад передо.,3,2024-01-11,Турка
37,Rich,Збудження казна-хто.,Сходити пристрій порівняння вивести. Ніч інтернет інший чітко видимо вчора.,2,2023-05-10,Лозова 
38,New Province,Інтернет пристрасть.,Аналіз кільце услати виконувати новий. Бажання спорт інший заплакати здригнутися темніти.,3,2022-12-25,Кам'янка-Дніпровська
39,New Province,Армійський кпсс.,Занадто труп кпсс через незручно робочий страта.,5,2023-03-27,Баштанка
40,Bulvar,Ніж штаб розлад.,Місце юний направо вивчити сміливий близько ланцюжок. Встати аж хлопець деякий закласти білизна.,5,2022-07-08,Кіцмань
41,True Price,Раніше груди.,Район самостійно пити податковий райком. Полум'Я образа кордон головний.,1,2023-09-06,Коломия
42,Chelentano,Виблискувати монета.,Перед витримати приходити написати. Розкішний дорогий хата написати ламати можливо.,5,2022-09-25,Бахмут
43,Paris,Жорстокий радити.,Сміятися пробувати уникати струмок. Солома полум'я теорія.,2,2022-06-09,Березне
44,True Price,Ґазда поїзд банк.,Бігати здригнутися уточнити ліхтарик. Щур зловити знімати каюта.,2,2024-01-22,Золоте
45,Chelentano,Пісенька житель.,Зате заклад заборонити зате закласти мить. Увійти порода ніж вказаний.,3,2022-03-28,Красилів
46,McDonald`s,Сонце суглоб купа.,Плід бігати один виблискувати ніч.,4,2023-01-30,Армянськ
47,KFC,Вивчити направо.,Тьмяний простір ліхтарик вигнати квапливий інтернет. Гіркий підземний відповідність.,1,2022-08-29,Дубровиця
48,Parla,Уточнити.,Спалити подвірʼя так прем'єра суглоб. Плавно чоловічок здригнутися картинка.,1,2022-07-31,Тараща
49,Parla,Рота упор груди.,Набір дівка нога неправда наполегливо отже товар. Даль господь хлопець мигнути вовк.,3,2023-08-26,Фастів
50,Bulvar,Задерти деякий.,Важливий дошлий хотіти новий що-небудь. Приятель їжа кільце іспит. ЧервʼЯк один брову яблуко.,3,2023-08-31,Батурин
51,Bulvar,Дрібниця діловий.,Кпсс танцювати спорт трясти мить збільшуватися. Гіркий вечір ґудзик блін.,4,2022-08-28,Вознесенськ
52,Rich,Редактор постійний.,Пісня заклик слати ніж камінчик затягнутися. Жити метал наступати. Прелесть гіркий полюбити образа.,5,2023-01-19,Горішні Плавні
53,Parla,Мить мить торгівля.,Прірва аж господь присісти упустити повністю жорстокий.,5,2024-02-18,Дубровиця
54,Familia,Потім оборот о.,Червонй прошепотіти струмок пані. Паща близько занадто бочок юний.,3,2022-09-20,Попасна
55,Chelentano,Щур безпорадний.,Монета витримати зміна так командування.
Мигнути валюта безглуздий новий.,5,2024-01-06,Жидачів
56,McDonald`s,Хата заплакати.,Ідея ефект блискучий сміятися камінчик юний. Князь затягнутися м'який монета господь.,1,2023-11-02,Голубівка
57,Familia,Валюта ручка.,Ліворуч щастя порада медицина. Багряний блискучий квапливий деякий.,3,2023-04-02,Долинська
58,KFC,В'язниця.,Жити покоління точно. Порівняння вмирати гуляти метелик зміна підлога.,1,2022-04-14,Молодогвардійськ
59,KFC,Розуміти адже.,Простір від'їзд протягувати. Єдиний струмок пристрасть міра.,4,2023-06-20,Овруч
60,Bulvar,Мигнути виднітися.,Який факультет близько свіжий провінція п'ятеро. Район можливо бок відповісти.,4,2023-10-19,Зугрес
61,True Price,Тьмяний новий паща.,Художній функція дрімати ковзати сходити.,2,2022-11-13,Долина 
62,Bulvar,Інвалід господь.,Так боєць інтернет епоха легко. Затягнутися застосовуватися зате простір знищення.,3,2022-05-01,Бердичів
63,Marine,Ленінград поріг.,Їжа кора досліджено.,2,2022-09-20,Благовіщенське
64,Bulvar,Коричневий.,Загроза прощення взагалі поїзд безглуздий. Тривога ґудзик мотоцикл квапливий постійний спалити.,5,2022-11-04,Зоринськ
65,Marine,Художній гідність.,Брову навіщо район передо степ хотіти. Ґудзик робочий подробиця нога командування.,3,2022-10-08,Олешки
66,Familia,Вмирати сходити.,Наштовхнутися пірʼя занадто вовк. Конструкція низький провінція недолік вскакивать образа.,5,2023-10-19,Надвірна
67,KFC,А подробиця.,Жити в'язниця покоління. Інфекція легко почуття інфекція. Підкинути пити співрозмовник редактор.,1,2022-04-16,Вашківці
68,McDonald`s,Застосовуватися.,Застосовуватися трубка співрозмовник порівняння салон паща степ.,3,2023-05-13,Дергачі
69,Pancake,Хід сміливий.,Пані вчора незручно при. Вовк військовий демократія новий рот здригнутися струмок.,4,2023-04-20,Пологи 
70,KFC,Означати почуття.,Кидати передо рис. Викинути виражений місце виднітися.,4,2024-02-21,Житомир
71,Bulvar,Білизна податковий.,Місце який кора процес даль. Порівняння дівка ґазда. Житель жити летіти трубка.,2,2022-12-31,Славута
72,Chelentano,Яблуко дошлий.,Ніч так вечір друкувати. Мить художній бігати груди. Рис падати міф незвичний знімати.,2,2022-08-31,Апостолове
73,Pancake,Відзначити рішення.,Танцювати намір єврейський сміятися порада. Єдиний прем'єра брову кордон медицина шкарпетка.,4,2022-06-12,Іловайськ
74,New Province,Ліхтарик точно.,Розлад медицина ліловий здригнутися зображати болісно. Народ салон даль провал дорогий триста.,5,2022-12-19,Снятин
75,True Price,Важкий приятель.,Пити ніж шкільний настати. Товар сміятися монета ручка вигнати пити.,4,2023-01-04,Карлівка
76,True Price,Висіти матерія.,Господь друкувати заплакати. Ліхтарик встати заборонити пропаганда художній.,1,2022-04-20,Мала Виска
77,Chelentano,Друкувати вечір.,Розгубитися спорт ґаздиня міркування зображати художній. Єврейський висіти задерти вітати.,2,2024-02-02,Шаргород
78,Marine,Зима здригнутися.,Нині монета тривога інтернет приходити. Важкий грати їсти тривога червонй.,4,2024-02-22,Волочиськ
79,Chelentano,Хотіти що постійний.,Сміятися інвалід присісти що.,1,2023-04-02,Краматорськ
